address,country,id_outlet,name,phone,reviews_nr
"1 Austin Road West | International Commerce Centre,, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d2161545-Reviews-Tosca_di_Angelo-Hong_Kong.html,Tosca di Angelo,+852 2263 2270,1230
"1 Austin Road West | International Commerce Centre, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d2166297-Reviews-The_Lounge_Bar-Hong_Kong.html,The Lounge & Bar,+852 2263 2270,1165
"G/F, 2 Austin Avenue, Tsim Sha Tsui, Kowloon, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d8353573-Reviews-Scarlett_Cafe_Wine_Bar-Hong_Kong.html,Scarlett Cafe & Wine Bar,+852 3565 6513,1101
"31/F & Rooftop The Hennessy, 256 Hennessy Road, Wan Chai, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1892540-Reviews-Wooloomooloo_Steakhouse_Wan_Chai-Hong_Kong.html,Wooloomooloo Steakhouse (Wan Chai),+852 2893 6960,1098
"18 Salisbury Road | InterContinental Hong Kong, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1024986-Reviews-NOBU_InterContinental_Hong_Kong-Hong_Kong.html,NOBU (InterContinental Hong Kong),+852 2313 2323,1055
"The Peninsula Hotel, Salisbury Road, | Tsim Sha Tsui, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d940224-Reviews-Felix-Hong_Kong.html,Felix,+852 2696 6778,1054
"G/F, No.1-5 Elgin Street, SoHo, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d6758068-Reviews-Ho_Lee_Fook-Hong_Kong.html,Ho Lee Fook,+852 2810 0860,1033
"15 Queen's Road | Landmark Atrium - Level 5 & 6, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d841139-Reviews-Zuma-Hong_Kong.html,Zuma,+852 3657 6388,1031
"No.15 Queen's Road Central | 7/F, The Landmark Mandarin Oriental, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d939504-Reviews-Amber-Hong_Kong.html,Amber,+852 2132-0066,1025
"3/F, Grand Progress Building, No.15-16 Lan Kwai Fong, Central, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d7808139-Reviews-Braza_Churrascaria_Brazilian_Steakhouse-Hong_Kong.html,Braza Churrascaria Brazilian Steakhouse,+852 2890 9268,1023
"G/F, 34-38 Stanley Street, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d3749223-Reviews-Yat_Lok_Restaurant-Hong_Kong.html,Yat Lok Restaurant,+852 2524 3882,997
"No.226 Hennessy Road, Wan Chai | G/F, Po Wah Commercial Centre, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d6894266-Reviews-Kam_s_Roast_Goose-Hong_Kong.html,Kam's Roast Goose,+852 5408 7740,994
"8 Finance Street, Central | Podium 4, Four Seasons Hotel Hong Kong,, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1062729-Reviews-Lung_King_Heen-Hong_Kong.html,Lung King Heen,+852 3196 8888,972
"G/F 160-164 Wellington Street, Central, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1527741-Reviews-Lin_Heung_Tea_House-Hong_Kong.html,Lin Heung Tea House,+852 2544 4556,939
"88 Jervois Street, Sheung wan, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d2534180-Reviews-Dim_Sum_Square-Hong_Kong.html,Dim Sum Square,+852 2851 8088,938
"77 Wellington St., Central, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d919498-Reviews-Mak_s_Noodle_Mak_Un_Kee-Hong_Kong.html,Mak's Noodle (Mak Un Kee),+852 2854 3810,929
"7 Tin Lok Lane, Causeway Bay, Wan Chai, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d3171948-Reviews-DimDimSum_Dim_Sum_Specialty_Store_Wan_Chai-Hong_Kong.html,DimDimSum Dim Sum Specialty Store (Wan Chai),+852 2891 7677,919
"G/F., 21 Gough Street, Mid-Level, Central, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d795044-Reviews-Kau_Kee_Restaurant-Hong_Kong.html,Kau Kee Restaurant,+852 2815 0123,911
"47 Bute Street, Mongkok, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d799832-Reviews-Kam_Wah_Cafe-Hong_Kong.html,Kam Wah Cafe,+852 2392 6830,911
"Shop A, Hong Kong Pacific Centre, 28 Hankow Road, Tsim Sha Tsu, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d786130-Reviews-The_Sweet_Dynasty_Tsim_Sha_Tsui-Hong_Kong.html,The Sweet Dynasty (Tsim Sha Tsui),+852 2199 7799,910
"No.118 Peak Road | Shop G02, G/F, The Peak Galleria, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d7050211-Reviews-Bread_Street_Kitchen-Hong_Kong.html,Bread Street Kitchen,+852 2350 3888,901
"35 Lydhurst Terrace, Central, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d799899-Reviews-Tai_Cheong_Bakery-Hong_Kong.html,Tai Cheong Bakery,+852 2544 3475,900
"25/F, Prince's Building, 10 Chater Road, Central, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1052864-Reviews-Sevva-Hong_Kong.html,Sevva,+852 2537 1388,899
"59 Wyndham Street, Central | G/f, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d6739503-Reviews-Ding_Dim_1968-Hong_Kong.html,Ding Dim 1968,+852 2326 1968,892
"Shop 4C-D, Tower 1, PL/F., China Hong Kong City, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d10089430-Reviews-Capo-Hong_Kong.html,Capo,+852 2523 9009,889
"Level 2, Hotel ICON, 17 Science Museum Road, Tsim Sha Tsui East | Tsim Sha Tsui East, Kowloon,, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d2514791-Reviews-The_Market-Hong_Kong.html,The Market,+852 3400 1388,879
"G/F-1/F, 17-19 Pak Hoi St., Yau Ma Te, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1755975-Reviews-Tsui_Wah_Restaurant_Pak_Hoi_Street_Shop-Hong_Kong.html,Tsui Wah Restaurant (Pak Hoi Street Shop),+852 2780 8328,876
"6F, Four Seasons Hotel, Central | Four Seasons Hotel Hong Kong, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d912108-Reviews-Caprice_Central-Hong_Kong.html,Caprice (Central),+852 3196 8860,876
"Shop 3328, Level 3, Gateway Arcade, Harbour City, 3-27 Canton Road, Tsim Sha Tsui, Kowloon, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d816324-Reviews-Crystal_Jade_La_Mian_Xiao_Long_Bao_Gateway_Arcade-Hong_Kong.html,Crystal Jade La Mian Xiao Long Bao (Gateway Arcade),+852 2622 2699,829
"4th Floor, The Sheraton Hotel & Towers, No.20 Nathan Road, Tsim Sha Tsui | 20 Nathan Road, Kowloon, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d844402-Reviews-Morton_s_The_Steakhouse-Hong_Kong.html,Morton's - The Steakhouse,+852 2732 2343,826
"Level 28, Hotel ICON, 17 Science Museum Road, Tsim Sha Tsui East, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d2390123-Reviews-Above_and_Beyond-Hong_Kong.html,Above and Beyond,+852 3400 1318,816
"15 Queen's Road Central, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d809453-Reviews-L_Atelier_de_Joel_Robuchon-Hong_Kong.html,L'Atelier de Joel Robuchon,+852 2166 9000,805
"30/F, No. 239 Hennessy Road | Wan Chai, Hong Kong Wan Chai, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d7289468-Reviews-Pirata-Hong_Kong.html,Pirata,+852 5485 5329,787
"112 Tung Choi Street, Hong Kong 000000, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d3309467-Reviews-DimDimSum_Dim_Sum_Specialty_Store_Mong_Kok-Hong_Kong.html,DimDimSum Dim Sum Specialty Store (Mong Kok),+852 2309 2300,783
"121 Peak Road, The Peak, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d788642-Reviews-The_Peak_Lookout-Hong_Kong.html,The Peak Lookout,+852 2849 1000,782
"LG/F LKF Tower, 55 D'Aguilar Street, Lan Kwai Fong | Central, Hong Kong 00000, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1320779-Reviews-Hard_Rock_Cafe_Hong_Kong-Hong_Kong.html,Hard Rock Cafe Hong Kong,+852 2111 3777,774
"G5-8, 12-17, Empire Centre, No.68 Mody Road, Tsim Sha Tsui East, Kowloon, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1100137-Reviews-Spasso_Italian_Bar_Restaurant-Hong_Kong.html,Spasso Italian Bar & Restaurant,+852 2730 8027,763
"98 Wellington Street. Central, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1094369-Reviews-Tsim_Chai_Kee_Noodle_Wellington_Street-Hong_Kong.html,Tsim Chai Kee Noodle Wellington Street,+852 2850 6471,762
"15-19 Wellington St, Central, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d798374-Reviews-Tsui_Wah_Restaurant-Hong_Kong.html,Tsui Wah Restaurant,+852 2525 6338,760
"77 Wyndham Street, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d799250-Reviews-Bombay_Dreams-Hong_Kong.html,Bombay Dreams,+852 2971 0001,743
"Shop 2075, 2/F, IFC, 8 Finance Street, Central District | Shop 2075, Podium 2, ifc mall, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d786786-Reviews-Isola_Bar_Grill-Hong_Kong.html,Isola Bar & Grill,+852 2383 8765,739
"5 Connaught Road Central | 5 Connaught Road Central, Hong Kong 000000, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d941989-Reviews-Mandarin_Grill_Bar_at_Mandarin_Oriental_Hong_Kong-Hong_Kong.html,"Mandarin Grill + Bar at Mandarin Oriental, Hong Kong",+852 2825 4004,731
"Jordan road, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1196158-Reviews-Hui_Lau_Shan-Hong_Kong.html,Hui Lau Shan,+852 2377 9766,719
"405 Lockhart Road, Wan Chai, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1089734-Reviews-Under_the_Bridge_Spicy_Crab-Hong_Kong.html,Under the Bridge Spicy Crab,+852 2573 7698,708
"2nd Floor, Grand Progress Building,15-16 Lan Kwai Fong, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d2276403-Reviews-Bistecca_Italian_Steak_House-Hong_Kong.html,Bistecca Italian Steak House,+852 2525 1308,697
"No.24-26 Stanley Street, Central, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1546043-Reviews-Luk_Yu_Tea_House-Hong_Kong.html,Luk Yu Tea House,+852 2523 5464,693
"3/F, Star House, Tsimshatsui, Kowloon, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d2017430-Reviews-Peking_Garden_Tsim_Sha_Tsui-Hong_Kong.html,Peking Garden (Tsim Sha Tsui),+852 2735 8211,691
"18 Salisbury Road, Tsim Sha Tsui | InterContinental Hong Kong,, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d927163-Reviews-Yan_Toh_Heen_InterContinental_Hong_Kong-Hong_Kong.html,Yan Toh Heen (InterContinental Hong Kong),+852 2313 2323,678
"Level 21, The ONE, No.100 Nathan Road, Tsim Sha Tsui, Kowloon, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1955748-Reviews-Wooloomooloo_Prime_Tsim_Sha_Tsui-Hong_Kong.html,Wooloomooloo Prime (Tsim Sha Tsui),+852 2870 0087,671
"1 Austin Road West,Kowloon | 6/F, W Hong Kong, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1799916-Reviews-Kitchen_W_Hotel_Hong_Kong-Hong_Kong.html,Kitchen (W Hotel Hong Kong),+852 3717 2299,666
"26-28 Man Wui St, Jordan, Kowloon | Austin Station Exit A, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d2437900-Reviews-DimDimSum_Dim_Sum_Specialty_Store_Jordan-Hong_Kong.html,DimDimSum Dim Sum Specialty Store (Jordan),+852 2771 7766,662
"2/F, Soundwill Plaza II- Midtown, No.1 Tang Lung Street, Causeway Bay, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d6951944-Reviews-Jamie_s_Italian-Hong_Kong.html,Jamie's Italian,+852 3958 2222,660
"2-3/F, No.46-50 Des Voeux Road West, Sheung Wan, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d2017661-Reviews-Lin_Heung_Kui-Hong_Kong.html,Lin Heung Kui,+852 2156 9328,656
"16-20 Chater Road | Shop B1, Basement 1, Alexandra House, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d938999-Reviews-Peking_Garden_Restaurant_Alexandra_House-Hong_Kong.html,Peking Garden Restaurant (Alexandra House),+852 2526 6456,653
"1st Floor, Carfield Building, 77 Wyndham Street,Central, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d2433070-Reviews-Tango_Argentinian_Steak_House-Hong_Kong.html,Tango Argentinian Steak House,+852 2525 5808,649
"5 Connaught Road Central | 5 Connaught Road Central, Hong Kong 000000, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1792423-Reviews-Man_Wah-Hong_Kong.html,Man Wah,+852 2825 4003,647
"18 Salisbury Road, Tsim Sha Tsui | InterContinental Hong Kong, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1482758-Reviews-Lobby_Lounge_InterContinental_Hong_Kong-Hong_Kong.html,Lobby Lounge (InterContinental Hong Kong),+852 2313 2323,637
"51 Parkes Street, Yaumatei, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d800834-Reviews-Mak_Man_Kee_Noodle_Shop-Hong_Kong.html,Mak Man Kee Noodle Shop,+852 2736 5561,637
"6/F, Cordis, Hong Kong at Langham Place | 555 Shanghai Street, Mongkok, Kowloon, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1094822-Reviews-Ming_Court_Cordis_Hong_Kong-Hong_Kong.html,"Ming Court (Cordis, Hong Kong)",+852 3552 3028,625
"62 Johnston Road, Wan Chai, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1098376-Reviews-The_Pawn-Hong_Kong.html,The Pawn,+852 2866 3444,618
"18 Salisbury Road | InterContinental HongKong, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d793034-Reviews-Harbourside_Restaurant-Hong_Kong.html,Harbourside Restaurant,+852 2313 2323,601
"No.77 Peking Road | Tsim Sha Tsui, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1952785-Reviews-Delaney_s_Kowloon_Irish_Bar-Hong_Kong.html,Delaney's Kowloon Irish Bar,+852 2301 3980,576
"No.22 Ship Street, Wan Chai, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d3602180-Reviews-22_Ships-Hong_Kong.html,22 Ships,+852 2555 0722,572
"5 Connaught Road Central | 5 Connaught Road Central, Hong Kong 000000, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1027723-Reviews-Clipper_Lounge-Hong_Kong.html,Clipper Lounge,+852 2825 4007,570
"2-8 Wharf Road, Seaview Building, North Point | Shop B, C, & D, G/F, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d11621345-Reviews-Tim_Ho_Wan-Hong_Kong.html,Tim Ho Wan,+852 2979 5608,562
"11 Sai Kung Street,, Jordan, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d799819-Reviews-Nathan_Congee_And_Noodle-Hong_Kong.html,Nathan Congee And Noodle,+852 2771 4285,553
"Shop G63, G/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui, Kowloon, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d2165749-Reviews-AL_MOLO_RISTORANTE_ITALIANO_Michael_White-Hong_Kong.html,AL MOLO RISTORANTE ITALIANO - Michael White,+852 2730 7900,550
"Ground Floor, 7 - 9 Butt Street, Sheung Wan, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d2719190-Reviews-Sang_Kee_Congee_Shop-Hong_Kong.html,Sang Kee Congee Shop,+852 2541 1099,523
"202 Alexandra, 18 House Chater Rd.Central, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d2423554-Reviews-8_1_2_Otto_e_Mezzo_Bombana-Hong_Kong.html,8 1/2 Otto e Mezzo Bombana,+852 2537 8859,519
"G/F 66 Staunton Street, Central, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d6420711-Reviews-Little_Bao-Hong_Kong.html,Little Bao,+852 2194 0202,504
"No.11 Humphreys Avenue | B/F, Tsim Sha Tsui, Hong Kong 999077, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d4928934-Reviews-Canton_s_Dim_Sum_Expert_Tsim_Sha_Tsui-Hong_Kong.html,Canton's Dim Sum Expert - Tsim Sha Tsui,+852 2332 7122,500
"1 Austin Road West | International Commerce Centre,, Hong Kong 852, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d3600498-Reviews-Cafe_103-Hong_Kong.html,Cafe 103,+852 2263 2270,499
"5/F, Prince Tower, 12A Peking Road, Tsim Sha Tsui, Kowloon, Hong Kong 999077, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d799972-Reviews-Gaylord_Indian_Restaurant-Hong_Kong.html,Gaylord Indian Restaurant,+852 2376 1001,496
"No.8 Peking Road | Tsim Sha Tsui, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1023200-Reviews-T_ang_Court_The_Langham_Hong_Kong-Hong_Kong.html,"T'ang Court - The Langham, Hong Kong",+852 2132 7898,496
"Shop 307, 3rd Floor, iSQUARE, No.63 Nathan Road, Tsim Sha Tsui, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1880782-Reviews-Carpaccio_Pasta_Pizza_Vino-Hong_Kong.html,Carpaccio Pasta Pizza Vino,+852 2328 5202,491
"G/F, 14 Shelley Street, Central | 15 Ship Street, Wan Chai, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d4361851-Reviews-Motorino_SoHo-Hong_Kong.html,Motorino SoHo,+852 2801 6881,491
"Shop G62, G/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui, Kowloon, Hong Kong 2730 3508, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1776480-Reviews-BLT_Steak_Ocean_Terminal-Hong_Kong.html,BLT Steak (Ocean Terminal),+852 2730 3508,490
"Shop 13, 2/F J Residence; 60 Johnston Road,Wan Chai | (Lift entrance at top of Ship Street), Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d793088-Reviews-Bo_Innovation-Hong_Kong.html,Bo Innovation,+852 2850 8371,484
"12th Floor, Hysan Place, 500 Hennessy Road, Causeway Bay, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1811458-Reviews-Ho_Hung_Kee-Hong_Kong.html,Ho Hung Kee,+852 2577 6558,476
"G/F2 Gage Street Central, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d779820-Reviews-Lan_Fong_Yuen_Central-Hong_Kong.html,Lan Fong Yuen(Central),+852 2544 3895,475
"G/F, 19-21 Mau Lam Street, Yau Ma Tei, Kowloon, Jordan, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d3927685-Reviews-Tai_Ping_Koon_Restaurant_Mau_Lam_Street-Hong_Kong.html,Tai Ping Koon Restaurant (Mau Lam Street),+852 2384 3385,469
