address,city,country,cuisines,features,id_outlet,lat,lon,menu,name,opening_hours,phone,postal_code,price_level,price_range,rating,region,reviews_nr,special_diets,street,tags,url,website
"Salisbury Road, Hong Kong, China",,China,"European, British, International",,https://www.tripadvisor.com/Restaurant_Review-g294217-d878088-Reviews-The_Lobby_at_the_Peninsula_Hong_Kong-Hong_Kong.html,22.294752,114.17182199999999,,The Lobby at the Peninsula Hong Kong,"Sun - Sat
10:00 AM - 12:00 AM",+852 2696 6772,,$$$$,£30 - £50,4.0,,1616.0,,Salisbury Road,All reviews ; scones ; cucumber sandwiches ; cake ; salmon ; high tea ; string quartet ; tea service ; iconic hotel ; hotel guests ; long wait ; tea set ; hot water ; queue ; hong ; decadent ; asia ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d878088-Reviews-The_Lobby_at_the_Peninsula_Hong_Kong-Hong_Kong.html,http://www.peninsula.com/en/hong-kong/hotel-fine-dining/the-lobby-afternoon-tea?utm_source=tripadvisori&utm_medium=referral
"Shum Wan Pier Dr | Wong Chuk Hang, Hong Kong, China",,China,"Seafood, Chinese, International, Fusion","Validated Parking, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Seating, Highchairs Available, Full Bar, Accepts Credit Cards, Table Service, Buffet",https://www.tripadvisor.com/Restaurant_Review-g294217-d1207531-Reviews-Jumbo_Kingdom_Floating_Restaurant-Hong_Kong.html,22.243668,114.162582,,Jumbo Kingdom Floating Restaurant,"Sun
9:00 AM - 11:30 PM
Mon - Sat
11:00 AM - 11:30 PM",+852 2553 9111,,$$ - $$$,,3.5,,1574.0,,Shum Wan Pier Dr Wong Chuk Hang,All reviews ; dim sum ; gumbos ; dumplings ; boat ride ; aberdeen harbour ; small boat ; combo ; sampan ; floor ; mtr ; wan ; cantonese ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d1207531-Reviews-Jumbo_Kingdom_Floating_Restaurant-Hong_Kong.html,http://www.jumbo.com.hk/eng/main.php?utm_source=tripadvisori&utm_medium=referral
"L49 The Upper House, Pacific Place, No.88 Queensway, Admiralty, Hong Kong, China",,China,"International, European","Reservations, Private Dining, Seating, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Wine and Beer",https://www.tripadvisor.com/Restaurant_Review-g294217-d1811943-Reviews-Cafe_Gray_Deluxe-Hong_Kong.html,22.277157,114.16606100000001,https://www.upperhouse.com/en/~/media/Files/The_Upper_House/PDF/CGD-Menu/Cafe_Gray_Deluxe_Menu_20190619.pdf,Cafe Gray Deluxe,"Sun - Sat
6:30 AM - 10:30 PM",+852 3968 1106,,$$$$,,4.5,,1512.0,,"L49 The Upper House, Pacific Place, No.88 Queensway, Admiralty",All reviews ; brunch ; steak tartare ; sea bass ; scones ; bread ; salad ; cafe grey ; house hotel ; market menu ; top floor ; pacific place ; jw marriott ; window seat ; high tea ; views of hong kong ; victoria harbour ; special occasion ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d1811943-Reviews-Cafe_Gray_Deluxe-Hong_Kong.html,http://www.cafegrayhk.com/?utm_source=tripadvisori&utm_medium=referral
"Shop 304 & 305, Level 3, The Peak Tower, 128 Peak Road, Hong Kong, China",,China,"American, Bar, Seafood",,https://www.tripadvisor.com/Restaurant_Review-g294217-d799966-Reviews-Bubba_Gump_Shrimp_Co-Hong_Kong.html,,,http://bubbagump.hk/docs/menus/menu1.pdf,Bubba Gump Shrimp Co.,"Sun - Thu
11:30 AM - 10:00 PM
Fri - Sat
11:30 AM - 10:30 PM",+852 2849 2867,,$$ - $$$,£25 - £35,4.0,,1380.0,,"Shop 304 & 305, Level 3, The Peak Tower, 128 Peak Road",All reviews ; shrimp ; seafood ; garlic bread ; ribs ; fries ; steak ; salad ; victoria peak ; window seat ; sky terrace ; american food ; tram ; hk ; harbour ; queue ; kowloon ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d799966-Reviews-Bubba_Gump_Shrimp_Co-Hong_Kong.html,http://bubbagump.hk/?utm_source=tripadvisori&utm_medium=referral
"1 Austin Road West | 102/F, The Ritz-Carlton, International Commerce Centre, Hong Kong, China",,China,"Chinese, Asian","Seating, Parking Available, Validated Parking, Valet Parking, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Highchairs Available, Wheelchair Accessible, Digital Payments, Accepts Discover, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g294217-d2399904-Reviews-Tin_Lung_Heen-Hong_Kong.html,22.303358,114.16018700000001,,Tin Lung Heen,"Sun - Sat
6:00 PM - 10:30 PM
Mon - Fri
12:00 PM - 2:30 PM
Sat - Sun
11:30 AM - 3:00 PM",+852 2263 2270,,$$$$,£50 - £502,4.5,,1380.0,,"1 Austin Road West 102/F, The Ritz-Carlton, International Commerce Centre",All reviews ; iberian pork ; shrimp toast ; dim sum ; abalone ; garoupa ; char siu ; degustation menu ; fish meat ; crab ; soup ; dumplings ; cakes ; truffle ; the ritz carlton ; window table ; chinese restaurant ; private room ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d2399904-Reviews-Tin_Lung_Heen-Hong_Kong.html,http://www.ritzncarlton.com/en/hotels0/china/hong-kong/dining/tin-lung-heen?utm_source=tripadvisori&utm_medium=referral
"G/F, 9-11 Fuk Wing Street, Hong Kong, China",,China,"Chinese, Asian","Takeout, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g294217-d3749262-Reviews-Tim_Ho_Wan_Sham_Shui_Po-Hong_Kong.html,22.329348,114.16644299999999,,Tim Ho Wan Sham Shui Po,,+852 2788 1226,,$,,4.0,,1350.0,,"G/F, 9-11 Fuk Wing Street",All reviews ; pork buns ; dim sum ; char siu bao ; spareribs ; vermicelli bowl ; sticky rice ; shrimp ; liver ; cakes ; cheung fun ; spare ribs ; spring rolls ; pastry ; fries ; michelin star ; chicken feet ; fuk wing street ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d3749262-Reviews-Tim_Ho_Wan_Sham_Shui_Po-Hong_Kong.html,http://www.timhowan.com/?utm_source=tripadvisori&utm_medium=referral
"2/F, Low Block, City Hall, Central, Hong Kong, China",,China,"Chinese, Asian","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g294217-d798091-Reviews-City_Hall_Maxim_s_Palace-Hong_Kong.html,22.282743,114.16165900000001,,City Hall Maxim's Palace,"Sun
9:00 AM - 3:00 PM
Sun - Sat
5:30 PM - 11:30 PM
Mon - Sat
11:00 AM - 3:00 PM",+852 2521 1303,,$$ - $$$,£10 - £50,4.0,,1296.0,,"2/F, Low Block, City Hall, Central",All reviews ; dim sum ; mango pudding ; har gow ; pork buns ; egg tarts ; shrimp ; ladies pushing ; trolley service ; push cart ; yum cha ; trolley ladies ; banquet hall ; worth the wait ; long wait ; hong kong experience ; chicken feet ; wait for a table ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d798091-Reviews-City_Hall_Maxim_s_Palace-Hong_Kong.html,http://www.maxrimschinese.com.hk/eng/restaurant/indexr.aspxr?utm_source=tripadvisori&utm_medium=referral
"2/F, 42 Mody Road, Tsim Sha Tsui, Hong Kong, China",,China,"Chinese, Asian",,https://www.tripadvisor.com/Restaurant_Review-g294217-d943734-Reviews-Spring_Deer-Hong_Kong.html,22.297293,114.174797,,Spring Deer,"Sun - Sat
12:00 PM - 3:00 PM
6:00 PM - 11:00 PM",+852 2366 4012,,$$ - $$$,£16 - £23,4.0,,1281.0,,"2/F, 42 Mody Road, Tsim Sha Tsui",All reviews ; peking duck ; pancakes ; shredded beef ; shark fin soup ; bamboo shoots ; spring rolls ; pastry ; noodles ; bread ; fries ; great duck ; sesame pockets ; plum sauce ; no reservation ; chinese food ; crispy skin ; waiters ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d943734-Reviews-Spring_Deer-Hong_Kong.html,
"Basement, Standard Chartered Bank Building, No.4-4A Des Voeux Road Central, Central, Hong Kong, China",,China,"Chinese, Asian","Reservations, Private Dining, Seating, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g294217-d6579151-Reviews-Mott_32-Hong_Kong.html,22.280712,114.159302,,Mott 32,"Sun - Sat
12:00 PM - 2:30 PM
6:00 PM - 11:00 PM",+852 2885 8688,,$$$$,,4.5,,1253.0,,"Basement, Standard Chartered Bank Building, No.4-4A Des Voeux Road Central, Central",All reviews ; iberico pork ; peking duck ; dim sum ; char siu ; cod ; soup dumplings ; pancakes ; frog legs ; har gow ; truffle ; prawns ; crab ; ice cream ; chicken ; fries ; the standard chartered bank ; apple wood ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d6579151-Reviews-Mott_32-Hong_Kong.html,http://www.mott32.com/?utm_source=tripadvisori&utm_medium=referral
"1 Austin Road West | International Commerce Centre,, Hong Kong, China",,China,"Italian, European","Seating, Parking Available, Validated Parking, Valet Parking, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Highchairs Available, Wheelchair Accessible, Full Bar, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g294217-d2161545-Reviews-Tosca_di_Angelo-Hong_Kong.html,22.303356,114.16018700000001,,Tosca di Angelo,"Sun
11:30 AM - 3:00 PM
Sun - Sat
6:30 PM - 10:30 PM
Mon - Sat
12:00 PM - 2:30 PM",+852 2263 2270,,$$$$,"£158 - £3,941",4.5,,1230.0,,"1 Austin Road West International Commerce Centre,",All reviews ; brunch ; tiramisu ; beef carpaccio ; pasta ; lobster ; sea bass ; langoustines ; tasting menu ; bread ; truffle ; cake ; caviar ; chef pino ; the ritz carlton ; icc building ; window table ; italian cuisine ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d2161545-Reviews-Tosca_di_Angelo-Hong_Kong.html,http://www.ritzncarlton.com/en/hotels0/china/hong-kong/dining/tosca?utm_source=tripadvisori&utm_medium=referral
"1 Austin Road West | International Commerce Centre, Hong Kong, China",,China,"Bar, International, Pub","Reservations, Private Dining, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g294217-d2166297-Reviews-The_Lounge_Bar-Hong_Kong.html,,,,The Lounge & Bar,,+852 2263 2270,,$$$$,,4.5,,1165.0,,1 Austin Road West International Commerce Centre,All reviews ; scones ; tenderloin ; cake ; salad ; burger ; the ritz carlton ; high tea ; window seat ; the afternoon tea set ; ozone bar ; view of hong kong ; night view ; spectacular views ; victoria harbor ; birthday dinner ; nice service ; hk island ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d2166297-Reviews-The_Lounge_Bar-Hong_Kong.html,http://www.ritzncarlton.com/en/hotels0/china/hong-kong/dining/the-lounge-bar?utm_source=tripadvisori&utm_medium=referral
"G/F, 2 Austin Avenue, Tsim Sha Tsui, Kowloon, Hong Kong, China",,China,"French, Bar, European, Wine Bar",,https://www.tripadvisor.com/Restaurant_Review-g294217-d8353573-Reviews-Scarlett_Cafe_Wine_Bar-Hong_Kong.html,,,https://www.randblab.com/assets/menu/SCARLETT%2520HK/Scarlett-HK-2019-9-16.pdf,Scarlett Cafe & Wine Bar,"Mon - Fri
3:00 PM - 1:00 AM
Sat - Sun
11:00 AM - 1:00 AM",+852 3565 6513,,$$ - $$$,,4.5,,1101.0,,"G/F, 2 Austin Avenue, Tsim Sha Tsui, Kowloon",All reviews ; crab ravioli ; cote de boeuf ; chateaubriand ; lamb shank ; prime rib ; caesar salad ; cold cuts ; mashed potatoes ; bread ; baby chicken ; ladies night ; birthday dinner ; nice wine ; french bistro ; delicious food ; great dinner ; nice restaurant ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d8353573-Reviews-Scarlett_Cafe_Wine_Bar-Hong_Kong.html,http://www.randblab.com/scarlett.html?utm_source=tripadvisori&utm_medium=referral#g2
"31/F & Rooftop The Hennessy, 256 Hennessy Road, Wan Chai, Hong Kong, China",,China,Steakhouse,"Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g294217-d1892540-Reviews-Wooloomooloo_Steakhouse_Wan_Chai-Hong_Kong.html,,,,Wooloomooloo Steakhouse (Wan Chai),"Sun - Sat
11:45 AM - 11:30 PM",+852 2893 6960,,$$$$,,4.0,,1098.0,,"31/F & Rooftop The Hennessy, 256 Hennessy Road, Wan Chai",All reviews ; steak ; baked potato ; lobster bisque ; salad ; bread ; rooftop bar ; wan chai ; spectacular views ; top floor ; cooked to perfection ; side dishes ; with some friends ; light show ; wine selection ; special occasion ; victoria harbour ; woolloomooloo ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d1892540-Reviews-Wooloomooloo_Steakhouse_Wan_Chai-Hong_Kong.html,http://wooloo-mooloo.com/hk/wan-chai.aspxr?utm_source=tripadvisori&utm_medium=referral
"18 Salisbury Road | InterContinental Hong Kong, Hong Kong, China",,China,"Japanese, Seafood, Sushi, Healthy","Seating, Valet Parking, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only, Reservations, Private Dining, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g294217-d1024986-Reviews-NOBU_InterContinental_Hong_Kong-Hong_Kong.html,,,https://hongkong-ic.intercontinental.com/en/dining/nobu/,NOBU (InterContinental Hong Kong),"Sun - Sat
12:00 PM - 2:30 PM
6:00 PM - 11:00 PM
Sat - Sun
2:30 PM - 5:00 PM",+852 2313 2323,,$$$$,£79 - £276,4.5,,1055.0,,18 Salisbury Road InterContinental Hong Kong,All reviews ; cod ; sushi ; yellowtail ; omakase menu ; green tea ice cream ; wagyu beef ; tacos ; sea bass ; miso soup ; foie gras ; cake ; shrimp ; intercontinental hotel ; new style ; japanese cuisine ; light show ; harbour view ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d1024986-Reviews-NOBU_InterContinental_Hong_Kong-Hong_Kong.html,http://www.hongkong-ic.intercontinental.com/dining/nobu.php?utm_source=tripadvisori&utm_medium=referral
"The Peninsula Hotel, Salisbury Road, | Tsim Sha Tsui, Hong Kong, China",,China,"European, Contemporary",,https://www.tripadvisor.com/Restaurant_Review-g294217-d940224-Reviews-Felix-Hong_Kong.html,22.295282,114.17173799999999,https://www.peninsula.com/en/hong-kong/hotel-fine-dining/felix,Felix,"Sun
11:30 AM - 3:30 PM
Mon - Sat
5:30 PM - 1:00 AM",+852 2696 6778,,$$$$,£24 - £118,4.0,,1054.0,,"The Peninsula Hotel, Salisbury Road, Tsim Sha Tsui",All reviews ; duck liver ; oysters ; bread ; steak ; peninsula hotel ; light show ; top floor ; laser show ; hong kong island ; victoria harbour ; magnificent view ; table by the window ; special occasion ; fine dining ; lift ; penninsula ; kowloon ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d940224-Reviews-Felix-Hong_Kong.html,http://www.peninsula.com/felixr?utm_source=tripadvisori&utm_medium=referral
"G/F, No.1-5 Elgin Street, SoHo, Hong Kong, China",,China,"Taiwanese, Chinese, Asian","Takeout, Reservations, Seating, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g294217-d6758068-Reviews-Ho_Lee_Fook-Hong_Kong.html,22.283001000000002,114.152657,,Ho Lee Fook,"Sun - Thu
6:00 PM - 11:00 PM
Fri - Sat
6:00 PM - 12:00 AM",+852 2810 0860,,$$ - $$$,£40 - £60,4.5,,1033.0,,"G/F, No.1-5 Elgin Street, SoHo",All reviews ; prawn toast ; short ribs ; dumplings ; char siu ; wagyu ; brussel sprouts ; pork ; calamari ; roast goose ; chilli ; cheung fun ; salad ; asian fusion ; amazing food ; modern twist ; worth the wait ; wait for a table ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d6758068-Reviews-Ho_Lee_Fook-Hong_Kong.html,http://www.holeefook.com.hk/?utm_source=tripadvisori&utm_medium=referral
"15 Queen's Road | Landmark Atrium - Level 5 & 6, Hong Kong, China",,China,"Japanese, Sushi, Asian","Outdoor Seating, Seating, Parking Available, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Wine and Beer, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g294217-d841139-Reviews-Zuma-Hong_Kong.html,22.280495000000002,114.157959,,Zuma,"Mon - Thu
12:00 PM - 12:00 AM
Fri
12:00 PM - 1:00 AM
Sat - Sun
11:00 AM - 12:00 AM",+852 3657 6388,,$$$$,£91 - £140,4.0,,1031.0,,15 Queen's Road Landmark Atrium - Level 5 & 6,All reviews ; brunch ; sushi ; cod ; dessert platter ; tasting menu ; tempura ; ice cream ; beef ; oysters ; salad ; free flow champagne ; japanese buffet ; main course ; outdoor terrace ; open kitchen ; business lunch ; sake ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d841139-Reviews-Zuma-Hong_Kong.html,http://znumarestaurant.com/locations/hong-kong/?utm_source=tripadvisori&utm_medium=referral
